Time,Eta
2000.440003,2.294240592
2000.45,2.293513562
2000.459997,2.292281577
2000.469995,2.291048393
2000.479992,2.289816448
2000.489989,2.288584503
2000.499986,2.287352558
2000.509984,2.286120613
2000.519981,2.284887429
2000.529978,2.283655484
2000.539975,2.282423539
2000.549973,2.281191594
2000.55997,2.279959582
2000.569967,2.278726398
2000.579964,2.277494453
2000.589962,2.276262508
2000.599959,2.275030563
2000.609956,2.273798618
2000.619953,2.272565434
2000.629951,2.271333489
2000.639948,2.270101544
2000.649945,2.268869599
2000.659942,2.267641109
2000.66994,2.266411449
2000.679937,2.265183025
2000.689934,2.263954602
2000.699931,2.262726178
2000.709929,2.261496518
2000.719926,2.260268094
2000.729923,2.259039671
2000.73992,2.257811247
2000.749918,2.256582823
2000.759915,2.255518188
2000.769912,2.25445469
2000.779909,2.253391191
2000.789907,2.252327693
2000.799904,2.251264195
2000.809901,2.250199627
2000.819898,2.249136128
2000.829896,2.24807263
2000.839893,2.247009132
2000.84989,2.245945633
2000.859887,2.244684979
2000.869885,2.243425649
2000.879882,2.242166319
2000.889879,2.240906989
2000.899876,2.239647659
2000.909874,2.238387062
2000.919871,2.237127732
2000.929868,2.235868403
2000.939865,2.234609073
2000.949863,2.233349743
2000.95986,2.231899262
2000.969857,2.230450307
2000.979854,2.229001352
2000.989852,2.227552398
2000.999849,2.226103443
2001.009846,2.22465303
2001.019843,2.223204076
2001.029841,2.221755121
2001.039838,2.220306166
2001.049835,2.218857133
2001.059832,2.217403758
2001.06983,2.215950384
2001.079827,2.21449701
2001.089824,2.213043635
2001.099821,2.211588799
2001.109819,2.210135425
2001.119816,2.20868205
2001.129813,2.207228676
2001.13981,2.205775302
2001.149808,2.204320386
2001.159805,2.202634459
2001.169802,2.200948533
2001.179799,2.199262606
2001.189797,2.197576679
2001.199794,2.195889056
2001.209791,2.19420313
2001.219788,2.192517203
2001.229786,2.190831276
2001.239783,2.189145349
2001.24978,NaN
2001.259777,NaN
2001.269775,NaN
2001.279772,NaN
2001.289769,NaN
2001.299766,NaN
2001.309764,NaN
2001.319761,NaN
2001.329758,NaN
2001.339755,NaN
2001.349753,NaN
2001.35975,NaN
2001.369747,NaN
2001.379744,NaN
2001.389742,NaN
2001.399739,NaN
2001.409736,NaN
2001.419733,NaN
2001.429731,NaN
2001.439728,NaN
2001.449725,NaN
2001.459722,NaN
2001.46972,NaN
2001.479717,NaN
2001.489714,NaN
2001.499711,NaN
2001.509709,NaN
2001.519706,NaN
2001.529703,NaN
2001.5397,NaN
2001.549698,NaN
2001.559695,NaN
2001.569692,NaN
2001.579689,NaN
2001.589687,NaN
2001.599684,NaN
2001.609681,NaN
2001.619678,NaN
2001.629676,NaN
2001.639673,NaN
2001.64967,2.103598319
2001.659667,2.101337032
2001.669665,2.099075744
2001.679662,2.096814456
2001.689659,2.094550894
2001.699656,2.092289606
2001.709654,2.090028318
2001.719651,2.087767031
2001.729648,2.085505743
2001.739645,2.08324218
2001.749643,2.080980893
2001.75964,2.079069918
2001.769637,2.077159066
2001.779634,2.075246292
2001.789632,2.07333544
2001.799629,2.071424588
2001.809626,2.069513736
2001.819623,2.067602884
2001.829621,2.065690109
2001.839618,2.063779257
2001.849615,2.061868405
2001.859612,2.060048007
2001.86961,2.058227712
2001.879607,2.056405586
2001.889604,2.054585291
2001.899601,2.052764997
2001.909599,2.050944702
2001.919596,2.049124407
2001.929593,2.047302281
2001.93959,2.045481986
2001.949588,2.043661692
2001.959585,2.042226416
2001.969582,2.040791239
2001.979579,2.039354619
2001.989577,2.037919442
2001.999574,2.036484265
2002.009571,2.035049088
2002.019568,2.033613911
2002.029566,2.032177291
2002.039563,2.030742114
2002.04956,2.029306937
2002.059557,2.027872849
2002.069555,2.026438839
2002.079552,2.025003387
2002.089549,2.023569377
2002.099546,2.022135367
2002.109544,2.020701357
2002.119541,2.019267347
2002.129538,2.017831894
2002.139535,2.016397884
2002.149533,2.014963874
2002.15953,2.013551668
2002.169527,2.012138119
2002.179524,2.01072599
2002.189522,2.009313862
2002.199519,2.007901733
2002.209516,2.006489605
2002.219513,2.005076056
2002.229511,2.003663927
2002.239508,2.002251799
2002.249505,2.000839671
2002.259502,1.999892447
2002.2695,1.998944348
2002.279497,1.997997201
2002.289494,1.997050054
2002.299491,1.996102907
2002.309489,1.995155761
2002.319486,1.994207661
2002.329483,1.993260514
2002.33948,1.992313368
2002.349478,1.991366221
2002.359475,1.990878335
2002.369472,1.990390009
2002.379469,1.989902174
2002.389467,1.989414339
2002.399464,1.988926504
2002.409461,1.988438669
2002.419458,1.987950344
2002.429456,1.987462509
2002.439453,1.986974674
2002.44945,1.986486839
2002.459447,1.98601683
2002.469445,1.985546374
2002.479442,1.985076392
2002.489439,1.984606409
2002.499436,1.984136427
2002.509434,1.983666444
2002.519431,1.983195989
2002.529428,1.982726006
2002.539425,1.982256024
2002.549423,1.981786041
2002.55942,1.981736062
2002.569417,1.981686158
2002.579414,1.981636255
2002.589412,1.981586352
2002.599409,1.981536448
2002.609406,1.981486494
2002.619403,1.981436591
2002.629401,1.981386688
2002.639398,1.981336784
2002.649395,1.981286881
2002.659392,1.981692239
2002.66939,1.982097193
2002.679387,1.982502147
2002.689384,1.982907101
2002.699381,1.983312055
2002.709379,1.983717417
2002.719376,1.984122371
2002.729373,1.984527325
2002.73937,1.984932279
2002.749368,1.985337233
2002.759365,1.986196541
2002.769362,1.987054965
2002.779359,1.987913388
2002.789357,1.988771811
2002.799354,1.989630235
2002.809351,1.990489522
2002.819348,1.991347945
2002.829346,1.992206368
2002.839343,1.993064792
2002.84934,1.993923215
2002.859337,1.99523772
2002.869335,1.996550858
2002.879332,1.997863996
2002.889329,1.999177133
2002.899326,2.000491592
2002.909324,2.001804729
2002.919321,2.003117867
2002.929318,2.004431005
2002.939315,2.005744142
2002.949313,2.007057351
2002.95931,2.008831713
2002.969307,2.010606074
2002.979304,2.012380436
2002.989302,2.014154798
2002.999299,2.015930945
2003.009296,2.017705307
2003.019293,2.019479668
2003.029291,2.02125403
2003.039288,2.023028392
2003.049285,2.024804635
2003.059282,2.027330749
2003.06928,2.029856863
2003.079277,2.032382977
2003.089274,2.034909092
2003.099271,2.037437747
2003.109269,2.039963861
2003.119266,2.042489975
2003.129263,2.04501609
2003.13926,2.047542204
2003.149258,2.050070996
2003.159255,2.053230486
2003.169252,2.056389976
2003.179249,2.059549466
2003.189247,2.062708956
2003.199244,2.065871625
2003.209241,2.069031115
2003.219238,2.072190605
2003.229236,2.075350095
2003.239233,2.078509585
2003.24923,2.081672424
2003.259227,2.085533824
2003.269225,2.089395224
2003.279222,2.093256624
2003.289219,2.097121908
2003.299216,2.100983308
2003.309214,2.104844708
2003.319211,2.108706107
2003.329208,2.112567507
2003.339205,2.116432792
2003.349203,2.120294401
2003.3592,2.124611189
2003.369197,2.128927977
2003.379194,2.133244765
2003.389192,2.137565896
2003.399189,2.141882684
2003.409186,2.146199472
2003.419183,2.15051626
2003.429181,2.154833049
2003.439178,2.159154179
2003.449175,2.163471202
2003.459172,2.168403792
2003.46917,2.173336383
2003.479167,2.178268973
2003.489164,2.183206526
2003.499161,2.188139117
2003.509159,2.193071707
2003.519156,2.198004298
2003.529153,2.202936889
2003.53915,2.207874441
2003.549148,2.212807032
2003.559145,2.218552557
2003.569142,2.224297814
2003.579139,2.230043072
2003.589137,2.235794109
2003.599134,2.241539366
2003.609131,2.247284623
2003.619128,2.253029881
2003.629126,2.258780918
2003.639123,2.264526175
2003.64912,2.270271433
2003.659117,2.276333271
2003.669115,2.282394798
2003.679112,2.288462423
2003.689109,2.294523949
2003.699106,2.300585476
2003.709104,2.306647003
2003.719101,2.31270853
2003.729098,2.318776154
2003.739095,2.324837681
2003.749093,2.330899208
2003.75909,2.337454146
2003.769087,2.344008755
2003.779084,2.350569959
2003.789082,2.357124568
2003.799079,2.363679178
2003.809076,2.370233787
2003.819073,2.376788396
2003.829071,2.3833496
2003.839068,2.389904209
2003.849065,2.396458819
2003.859062,2.402911522
2003.86906,2.409363869
2003.879057,2.415822707
2003.889054,2.422275055
2003.899051,2.428727402
2003.909049,2.435179749
2003.919046,2.441632097
2003.929043,2.448090935
2003.93904,2.454543282
2003.949038,2.46099563
2003.959035,2.468078669
2003.969032,2.475161357
2003.979029,2.482251172
2003.989027,2.48933386
2003.999024,2.496416549
2004.009021,2.503499238
2004.019018,2.510589052
2004.029016,2.517671741
2004.039013,2.52475443
2004.04901,2.531837119
2004.059007,2.538562297
2004.069005,2.545293856
2004.079002,2.55201865
2004.088999,2.558743444
2004.098996,2.565468238
2004.108994,2.572193032
2004.118991,2.578924591
2004.128988,2.585649385
2004.138985,2.592374179
2004.148983,2.599098973
2004.15898,2.605979316
2004.168977,2.612866215
2004.178974,2.619746193
2004.188972,2.626626172
2004.198969,2.63350615
2004.208966,2.640386128
2004.218963,2.647273027
2004.228961,2.654153006
2004.238958,2.661032984
2004.248955,2.667912962
2004.258952,2.674610568
2004.26895,2.681314539
2004.278947,2.688011772
2004.288944,2.694709006
2004.298941,2.701406239
2004.308939,2.708103472
2004.318936,2.714807443
2004.328933,2.721504676
2004.33893,2.728201909
2004.348928,2.734899142
2004.358925,2.741115186
2004.368922,2.74733712
2004.378919,2.7535528
2004.388917,2.759768481
2004.398914,2.765984161
2004.408911,2.772206095
2004.418908,2.778421775
2004.428906,2.784637455
2004.438903,2.790853136
2004.4489,2.797068816
2004.458897,2.802834921
2004.468895,2.808594894
2004.478892,2.814354867
2004.488889,2.82011484
2004.498886,2.825874813
2004.508884,2.83164058
2004.518881,2.837400553
2004.528878,2.843160526
2004.538875,2.848920499
2004.548873,2.854680472
2004.55887,2.859999764
2004.568867,2.865313398
2004.578864,2.870627032
2004.588862,2.875940666
2004.598859,2.881254299
2004.608856,2.886573279
2004.618853,2.891886913
2004.628851,2.897200547
2004.638848,2.902514181
2004.648845,2.907827814
2004.658842,2.913077943
2004.66884,2.918322507
2004.678837,2.923567072
2004.688834,2.928811636
2004.698831,2.9340562
2004.708829,2.93930604
2004.718826,2.944550605
2004.728823,2.949795169
2004.73882,2.955039733
2004.748818,2.960284582
2004.758815,2.964776032
2004.768812,2.969267483
2004.778809,2.973758933
2004.788807,2.978250384
2004.798804,2.982746353
2004.808801,2.987237803
2004.818798,2.991729254
2004.828796,2.996220704
2004.838793,3.000712155
